ano,id_municipio,sigla_uf,populacao_atendida_agua,populacao_atentida_esgoto,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_atendida_agua_ibge,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto,populacao_urbana_residente_esgoto_ibge,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,quantidade_ligacao_total_agua,quantidade_ligacao_total_esgoto,quantidade_economia_ativa_agua,quantidade_economia_ativa_esgoto,quantidade_ligacao_micromedia_ativa_agua,quantidade_economia_residencial_ativa_agua,quantidade_economia_residencial_ativa_esgoto,quantidade_economia_micromedida_ativa_agua,quantidade_economia_residencial_micromedida_ativa_agua,volume_agua_produzido,volume_agua_tratada_eta,volume_agua_micromedido,volume_agua_consumido,volume_agua_faturado,volume_agua_macromedido,volume_agua_tratada_desinfeccao,volume_agua_bruta_exportado,volume_agua_tratada_importado,volume_agua_tratada_exportado,volume_agua_micromedido_economia_ativa,volume_servico_agua,volume_agua_fluoretada,consumo_eletrico_sistemas_agua,volume_esgoto_coletado,volume_esgoto_tratado,volume_esgoto_faturado,volume_esgoto_bruto_exportado,volume_esgoto_bruto_importado,volume_esgoto_importado,volume_esgoto_bruto_exportado_tratamento_importador,consumo_eletrico_sistemas_esgoto,indice_agua_ligacao,indice_hidrometracao,indice_macromedicao_volume_disponibilizado,indice_macromedicao,indice_perda_faturamento,indice_micromedido_economia,indice_coleta_esgoto,indice_tratamento_esgoto,indice_consumo_agua_faturado,indice_extensao_agua_ligacao,indice_extensao_esgoto_ligacao,indice_consumo_agua_per_capita,indice_atendimento_urbano_agua,indice_atendimento_agua_esgoto,indice_volume_agua_economia,indice_faturamento_agua,indice_participacao_economia_agua,indice_micromedicao_relativo_agua,indice_esgotamento_agua_consumida,indice_atendimento_esgoto_esgoto,indice_perda_distribuicao_agua,indice_perda_linear_agua,indice_perda_ligacao_agua,indice_consumo_agua,indice_consumo_medio_agua,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_fluoretacao_agua,indice_consumo_energia_agua,indice_consumo_energia_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2020,2301901,CE,32947.0,5502.0,42080.0,42080.0,32947.0,61228.0,42080.0,5502.0,61228.0,98.55,46.34,1.0,1.0,0.0,0.0,13293.0,1884.0,17050.0,7850.0,13423.0,1917.0,13155.0,12772.0,1784.0,13281.0,12639.0,3572.01,0.0,1666.99,1711.46,2110.94,3572.01,3572.01,0.0,0.0,11.81,1583.56,133.21,0.0,2059.91,183.98,183.98,221.85,0.0,0.0,0.0,0.0,142.38,1.01,98.94,48.64,100.0,38.61,10.6,10.82,100.0,13.2,5.9,5.78,143.5,78.3,13.08,22.4,61.39,95.19,98.08,10.82,13.08,50.23,48.02,360.75,49.77,10.7,53.81,8.99,0.0,0.58,0.77,9302419.78,8405215.54,897204.24,239075.44,0.0,9541495.22,0.0,8981741.88,4217333.24,1863385.12,8.0,47129.89,1314670.31,1410920.29,7438978.97,17041.58,8560889.61,1068083.56,240392.13,904282.27,36785.5,1658198.96,0.0,0.0,16760.89,280.69,17041.58,0.0,0.0,0.0,0.0,83544.2,34284.02,24261.97,142090.19,0.0,0.0,142090.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2303501,CE,33972.0,1771.0,61730.0,61730.0,33972.0,72706.0,61730.0,1771.0,72706.0,166.69,5.67,1.0,1.0,1.0,0.0,13034.0,543.0,17573.0,610.0,13367.0,718.0,13032.0,12760.0,715.0,13365.0,12758.0,2002.59,2002.59,1168.01,1182.22,1763.36,2002.59,0.0,0.0,0.0,0.0,1122.49,32.69,0.0,1045.88,38.01,38.01,50.68,0.0,0.0,0.0,0.0,32.75,1.02,99.99,59.29,100.0,10.48,7.4,3.22,100.0,11.1,8.2,6.77,94.5,55.0,2.87,12.6,89.52,95.58,98.8,3.22,2.87,39.99,13.38,165.99,60.01,7.4,46.73,2.44,0.0,0.52,0.86,6945402.39,6779013.55,166388.84,238038.21,0.0,7183440.6,0.0,7992659.76,174.67,2087888.41,10.0,528567.15,816345.42,1326081.23,7649532.0,41745.37,8590102.33,898824.96,134165.0,924564.64,0.0,1831920.15,0.0,0.0,41701.2,44.17,41745.37,0.0,0.0,0.0,0.0,2972041.28,11971.79,0.0,399285.79,,2584727.28,2984013.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2304400,CE,230535.51999999955,556584.2399999019,299874.75999999983,299874.75999999983,232910.51999999993,337683.0999999986,1241964.9900001353,624060.3200000545,1089844.4999998128,757.7775999999974,618.0716000000004,1.0,1.0,0.0,0.0,670266.0,416702.0,928261.0,595779.0,866916.0,591936.0,670228.0,800425.0,544624.0,866878.0,800390.0,253078.1,253078.1,98396.21,147548.26,127152.48,253078.1,0.0,0.0,0.0,48712.43,89751.81,12834.73,208395.9,84482.38,58482.38,58482.38,71633.92,0.0,0.0,0.0,0.0,17201.7,1.3,99.99,51.37,100.0,47.07,9.5,59.17,100.0,7.6,4.6,4.69,132.4,77.3,55.34,19.7,52.93,92.25,99.56,59.17,55.34,38.58,60.59,381.0,61.42,9.5,77.27,55.34,82.34,0.33,0.29,869819397.25,544876243.11,324943154.14,17639250.65,0.0,887458647.9,0.0,891221270.84,385641850.35,130767250.62,539.0,21380735.56,40680368.75,88658924.11,533888216.53,53822727.2,700968802.65,106243692.74,49175729.73,83089607.19,7014166.18,120135600.57,0.0,65844508.11,17720275.65,36102451.55,119667235.31,0.0,0.0,0.0,0.0,92845389.03,41983079.04,11246742.13,121071664.0,12267566.43,12735979.77,146075210.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2305233,CE,35357.0,3857.0,61157.0,61157.0,35357.0,66114.0,61157.0,3857.0,66114.0,150.97,12.73,1.0,1.0,3.0,0.0,17719.0,1740.0,24452.0,2194.0,18197.0,1761.0,17719.0,17769.0,1723.0,18197.0,17769.0,3503.64,3503.64,1500.81,1500.81,2419.72,0.0,0.0,0.0,0.0,0.0,1404.5,0.55,1493.52,3968.35,363.34,363.34,409.72,0.0,0.0,0.0,0.0,82.86,1.03,100.0,42.84,0.0,30.93,6.7,24.21,100.0,10.8,6.2,5.88,97.9,57.8,6.31,15.7,69.07,97.55,100.0,24.21,6.31,57.16,36.34,301.59,42.84,6.7,53.48,5.83,42.63,1.13,0.23,10938513.04,6845279.16,4093233.88,1277454.09,0.0,12215967.13,0.0,11901458.11,4513671.24,2476514.36,11.0,740738.46,1361031.02,1932519.49,8461090.72,22093.49,10986573.46,2221539.8,587317.52,1362969.87,281849.45,0.0,0.0,0.0,20532.3,1561.19,22093.49,0.0,0.0,0.0,0.0,1773925.97,4008550.15,0.0,1789856.67,,3992619.45,5782476.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2305407,CE,31655.0,18117.0,31655.0,31655.0,31238.0,68018.0,31655.0,18117.0,68018.0,140.0,49.0,1.0,1.0,0.0,0.0,13661.0,4623.0,17576.0,5457.0,13675.0,4634.0,12296.0,12853.0,4254.0,12306.0,11691.0,4905.0,3337.0,1292.0,3325.0,2195.0,0.0,1482.0,0.0,0.0,0.0,1116.0,166.0,3337.0,1800.0,1406.0,1338.0,1340.0,0.0,0.0,0.0,0.0,137.0,1.0,91.16,27.26,0.0,53.68,8.6,42.29,95.16,13.2,8.1,9.01,181.7,98.7,57.23,29.6,46.32,93.85,38.86,40.24,57.23,29.84,27.67,281.43,70.16,20.1,73.72,26.64,68.03,0.37,0.1,5104162.0,4069962.0,1034200.0,149433.0,0.0,5253595.0,0.0,4910858.0,807660.0,2120387.0,65.0,339797.0,367567.0,54346.0,4628482.0,0.0,4628482.0,0.0,0.0,18280.0,0.0,1728105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8531.0,0.0,0.0,8531.0,,,8531.0,0.0,236030.61,0.0,0.0,0.0,,236030.61,,,,,,,
2017,2309300,CE,24047.0,2600.0,24047.0,24047.0,24000.0,32035.0,24047.0,2400.0,32035.0,100.0,5.0,1.0,1.0,17.0,0.0,12600.0,1098.0,14000.0,1117.0,12735.0,1099.0,11600.0,12300.0,1065.0,11743.0,11367.0,980.0,880.0,745.0,840.0,1000.0,85.0,100.0,1000.0,200.0,0.0,,80.0,0.0,4390.0,50.0,50.0,5.0,0.0,6.0,0.0,0.0,,1.01,92.06,67.73,7.2,9.09,5.3,5.95,89.29,6.5,7.1,4.48,71.9,99.8,9.98,7.7,90.91,96.58,88.69,5.95,9.98,23.64,7.12,56.53,76.36,5.5,99.89,8.12,0.0,3.72,,2751962.55,2751962.55,0.0,37.9,0.0,2752000.45,0.0,2751962.55,196000.0,1257568.81,40.0,240429.6,336889.46,33600.42,2335088.9,0.0,2433000.0,15000.0,266600.0,0.0,0.0,200000.61,82911.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340000.0,0.0,0.0,0.0,0.0,,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2310308,CE,9740.0,11361.0,14202.0,14202.0,9740.0,31521.0,14202.0,11361.0,31521.0,38.9,20.0,1.0,1.0,0.0,0.0,4629.0,2700.0,6170.0,2800.0,4690.0,,4628.0,4425.0,,4689.0,4424.0,544.23,544.23,335.34,335.63,589.11,544.23,0.0,0.0,0.0,0.0,291.3,0.22,138.57,360.1,344.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.01,99.98,61.64,100.0,-8.29,6.0,100.0,0.0,10.6,6.7,7.14,95.1,68.6,80.0,9.8,108.29,94.38,99.91,0.0,80.0,38.3,14.68,125.1,61.7,6.1,30.9,36.04,25.46,0.66,0.01,2033285.34,1953285.34,80000.0,75913.12,0.0,2109198.46,0.0,2072134.55,577614.5,555506.1,5.0,87316.71,331784.16,546132.71,2578197.41,3647.3,2848765.71,256921.0,32227.97,96719.68,2000.0,928510.08,0.0,0.0,3629.3,18.0,3647.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,30000.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2312403,CE,12700.0,5858.0,31484.0,31484.0,12700.0,48422.0,31484.0,5858.0,48422.0,155.77,43.52,1.0,1.0,4.0,2.0,8075.0,4182.0,15617.0,10266.0,8369.0,4568.0,8074.0,7830.0,4224.0,8368.0,7829.0,1426.17,0.0,695.96,696.27,1097.67,1426.17,1426.17,0.0,0.0,0.0,609.67,0.48,0.0,700.64,2339.73,2339.73,2554.59,0.0,0.0,0.0,0.0,395.64,1.04,99.99,48.82,100.0,23.01,7.1,100.0,100.0,11.1,11.8,7.86,149.6,40.3,18.61,14.4,76.99,94.0,99.96,100.0,18.61,51.16,13.02,251.78,48.84,7.1,26.23,12.1,0.0,0.49,0.17,14979561.94,3888630.72,11090931.22,196555.51,0.0,15176117.45,0.0,15673924.86,5634469.24,3220080.74,13.0,316764.86,756463.12,2997855.36,11308667.29,22295.9,14651801.76,2676950.2,234833.52,1185246.99,643888.37,2597422.7,0.0,0.0,22184.6,111.3,22295.9,0.0,0.0,0.0,0.0,6999.41,0.0,0.0,6999.41,0.0,0.0,6999.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2312908,CE,186170.0,203376.0,186170.0,186170.0,186519.0,210711.0,186170.0,178530.0,210711.0,757.7775999999974,580.0,1.0,1.0,33.0,3.0,65259.0,44937.0,79332.0,53114.0,69804.0,49308.0,65201.0,65192.0,45632.0,69736.0,65159.0,18600.42,18600.42,8746.02,9219.46,11307.89,18600.42,0.0,0.0,138.62,0.0,7721.02,5.62,18132.52,17118.43,4450.68,4450.68,5409.61,0.0,0.0,0.0,0.0,570.86,1.07,99.9,46.69,99.26,39.64,10.6,48.27,100.0,13.7,10.5,10.63,120.4,100.0,95.9,22.7,60.36,93.41,94.86,48.27,95.9,50.79,31.72,406.37,49.21,11.2,100.0,96.52,96.76,0.91,0.13,45027004.36,31827287.41,13199716.95,6748017.7,0.0,51775022.06,0.0,44069452.89,14367427.41,13450252.74,173.0,3237488.51,8636621.66,9087744.11,43758364.0,3875.19,44001640.29,239401.1,41658.96,569674.13,0.0,8734923.89,0.0,0.0,3814.05,61.14,3875.19,0.0,0.0,0.0,0.0,570122.15,40420.0,40392.82,383598.06,0.0,267336.91,650934.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2300150,CE,6154.0,1728.0,8476.0,8476.0,6154.0,16288.0,8476.0,1728.0,16288.0,34.37,16.32,1.0,1.0,0.0,0.0,3600.0,1006.0,4143.0,1088.0,3620.0,1013.0,3600.0,3488.0,975.0,3620.0,3488.0,874.06,874.06,377.83,377.83,509.34,0.0,0.0,0.0,0.0,0.0,357.15,0.0,0.0,51.73,86.16,86.16,111.48,0.0,0.0,0.0,0.0,28.83,1.01,100.0,43.23,0.0,41.73,8.8,22.8,100.0,11.9,7.9,15.01,168.8,72.6,20.39,20.4,58.27,96.31,100.0,22.8,20.39,56.77,42.24,383.24,43.23,8.8,37.78,10.61,0.0,0.06,0.33,1230067.28,1024983.02,205084.26,58331.36,0.0,1288398.64,0.0,1273712.86,619647.66,486391.33,3.0,248730.69,108674.65,333415.61,1482929.76,28.39,1405189.38,-113527.95,47510.31,-69026.88,35759.18,327234.05,0.0,11326.63,70.79,-42.4,11355.02,0.0,0.0,0.0,0.0,118932.48,0.0,0.0,118932.48,0.0,0.0,118932.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,2300150,CE,6121.0,3215.0,8332.0,8332.0,6121.0,16011.0,8332.0,3215.0,16011.0,29.0,16.0,1.0,1.0,0.0,0.0,3356.0,1008.0,3797.0,1072.0,3378.0,1016.0,3356.0,3254.0,976.0,3378.0,3254.0,606.83,606.83,408.8,408.8,494.24,0.0,0.0,0.0,0.0,0.0,382.9,0.0,0.0,52.0,97.0,97.0,115.0,0.0,0.0,0.0,0.0,26.0,1.01,100.0,67.37,0.0,18.55,10.1,23.73,100.0,12.3,7.8,15.07,179.7,73.5,38.59,15.0,81.45,96.12,100.0,23.73,38.59,32.63,18.65,162.44,67.37,10.1,38.23,20.08,0.0,0.09,0.27,1135145.0,937179.0,197966.0,31760.0,0.0,1166905.0,0.0,1202693.0,484935.0,279941.0,3.0,51244.0,37981.0,312803.0,1034826.0,73763.0,1319497.0,150371.0,81745.0,-48521.0,60537.0,319633.0,0.0,153790.0,28403.0,45360.0,227553.0,0.0,0.0,,0.0,3237.0,0.0,0.0,3237.0,0.0,0.0,3237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
